,Date,Price,Open,High,Low,Volume,Chg
659,"Sep 21, 2020",73.570,73.535,73.649,73.260,3.60K,0.04%
660,"Sep 18, 2020",73.538,73.475,73.613,73.144,4.47K,-0.08%
661,"Sep 17, 2020",73.600,73.715,73.784,73.581,3.84K,0.10%
662,"Sep 16, 2020",73.530,73.595,73.779,73.465,4.40K,-0.10%
663,"Sep 15, 2020",73.600,73.395,73.735,73.312,4.29K,0.31%
664,"Sep 14, 2020",73.370,73.480,73.605,73.265,1.14K,-0.08%
665,"Sep 11, 2020",73.430,73.535,73.628,73.405,5.87K,0.00%
666,"Sep 10, 2020",73.430,73.462,73.508,73.155,7.66K,0.18%
667,"Sep 09, 2020",73.300,73.787,73.832,73.310,7.93K,-0.60%
668,"Sep 08, 2020",73.740,73.630,73.974,73.385,8.43K,0.40%
669,"Sep 07, 2020",73.444,73.291,73.508,73.027,7.29K,0.21%
670,"Sep 04, 2020",73.289,73.480,73.505,73.006,7.23K,-0.14%
671,"Sep 03, 2020",73.389,73.225,73.570,73.151,6.89K,0.17%
672,"Sep 02, 2020",73.268,73.143,73.320,72.893,7.79K,0.36%
673,"Sep 01, 2020",73.002,73.215,73.225,72.753,6.38K,-0.34%
674,"Aug 31, 2020",73.254,73.115,73.702,73.050,4.53K,0.19%
675,"Aug 28, 2020",73.114,73.827,73.878,73.116,6.66K,-1.06%
676,"Aug 27, 2020",73.894,74.290,74.370,73.782,4.04K,-0.44%
677,"Aug 26, 2020",74.217,74.225,74.459,74.193,6.88K,0.02%
678,"Aug 25, 2020",74.202,74.100,74.517,74.070,6.79K,0.05%
679,"Aug 24, 2020",74.168,74.922,74.922,73.962,4.90K,-1.00%
680,"Aug 21, 2020",74.920,74.980,75.005,74.820,3.16K,-0.12%
681,"Aug 20, 2020",75.012,74.973,75.132,74.935,3.70K,0.22%
682,"Aug 19, 2020",74.846,74.655,74.935,74.628,3.52K,0.37%
683,"Aug 18, 2020",74.570,74.740,74.886,74.575,3.22K,-0.23%
684,"Aug 17, 2020",74.743,74.903,74.921,74.715,3.09K,-0.17%
685,"Aug 14, 2020",74.874,74.890,74.978,74.734,3.21K,0.08%
686,"Aug 13, 2020",74.811,74.775,74.933,74.769,2.87K,0.03%
687,"Aug 12, 2020",74.790,74.615,74.935,74.615,3.34K,0.24%
688,"Aug 11, 2020",74.610,74.855,74.887,74.522,3.19K,-0.35%
689,"Aug 10, 2020",74.870,75.025,75.025,74.857,1.03K,-0.19%
690,"Aug 07, 2020",75.012,75.073,75.112,74.891,5.55K,0.16%
691,"Aug 06, 2020",74.890,74.875,75.017,74.777,5.71K,0.13%
692,"Aug 05, 2020",74.796,74.982,75.030,74.763,6.17K,-0.35%
693,"Aug 04, 2020",75.060,75.165,75.214,74.962,3.64K,-0.16%
694,"Aug 03, 2020",75.180,74.918,75.314,74.863,4.96K,0.35%
695,"Jul 31, 2020",74.916,74.750,74.939,74.685,5.49K,0.05%
696,"Jul 30, 2020",74.875,74.830,74.967,74.795,5.59K,-0.06%
697,"Jul 29, 2020",74.923,74.870,74.949,74.676,6.58K,0.02%
698,"Jul 28, 2020",74.907,74.785,74.943,74.707,6.41K,0.16%
699,"Jul 27, 2020",74.790,74.760,74.902,74.665,4.72K,0.05%
700,"Jul 24, 2020",74.750,74.908,74.985,74.697,6.19K,-0.08%
701,"Jul 23, 2020",74.810,74.625,74.961,74.600,5.88K,0.28%
702,"Jul 22, 2020",74.600,74.543,74.872,74.509,4.20K,0.09%
703,"Jul 21, 2020",74.530,74.725,74.875,74.516,6.01K,-0.28%
704,"Jul 20, 2020",74.740,74.898,75.033,74.735,5.89K,-0.19%
705,"Jul 17, 2020",74.884,75.200,75.255,74.897,5.94K,-0.38%
706,"Jul 16, 2020",75.170,75.115,75.295,75.107,5.25K,0.07%
707,"Jul 15, 2020",75.120,75.325,75.380,75.050,7.09K,-0.34%
708,"Jul 14, 2020",75.378,75.275,75.535,75.268,6.85K,0.25%
709,"Jul 13, 2020",75.187,75.195,75.237,75.082,5.96K,-0.00%
710,"Jul 10, 2020",75.190,75.165,75.340,75.141,4.64K,0.07%
711,"Jul 09, 2020",75.140,74.935,75.166,74.902,6.15K,0.27%
712,"Jul 08, 2020",74.940,74.835,75.084,74.825,5.11K,0.17%
713,"Jul 07, 2020",74.810,74.645,74.979,74.635,5.59K,0.23%
714,"Jul 06, 2020",74.635,74.639,74.830,74.485,6.10K,-0.00%
715,"Jul 03, 2020",74.636,74.597,75.027,74.567,3.91K,-0.15%
716,"Jul 02, 2020",74.750,75.460,75.540,74.646,5.40K,-0.98%
717,"Jul 01, 2020",75.490,75.510,75.629,75.466,4.35K,-0.07%
718,"Jun 30, 2020",75.545,75.523,75.628,75.425,5.84K,0.05%
719,"Jun 29, 2020",75.510,75.628,75.660,75.458,5.43K,-0.15%
720,"Jun 26, 2020",75.620,75.580,75.688,75.435,4.43K,0.04%
721,"Jun 25, 2020",75.587,75.717,75.782,75.503,5.96K,-0.10%
722,"Jun 24, 2020",75.665,75.486,75.780,75.486,6.66K,0.21%
723,"Jun 23, 2020",75.503,75.802,75.916,75.455,6.08K,-0.38%
724,"Jun 22, 2020",75.790,76.268,76.303,75.723,6.51K,-0.62%
725,"Jun 19, 2020",76.260,76.349,76.373,76.093,6.08K,-0.18%
726,"Jun 18, 2020",76.400,76.263,76.400,76.046,7.12K,0.14%
727,"Jun 17, 2020",76.290,76.268,76.370,76.082,7.24K,0.05%
728,"Jun 16, 2020",76.250,75.865,76.311,75.780,7.75K,0.36%
729,"Jun 15, 2020",75.979,76.073,76.190,75.936,6.95K,-0.09%
730,"Jun 12, 2020",76.050,75.992,76.260,75.772,7.54K,0.10%
731,"Jun 11, 2020",75.971,75.672,75.971,75.579,5.78K,0.44%
732,"Jun 10, 2020",75.635,75.532,75.676,75.419,5.34K,0.17%
733,"Jun 09, 2020",75.505,75.458,75.702,75.423,6.94K,0.14%
734,"Jun 08, 2020",75.400,75.578,75.685,75.400,5.43K,-0.21%
735,"Jun 05, 2020",75.560,75.432,75.725,75.325,5.18K,0.13%
736,"Jun 04, 2020",75.459,75.373,75.660,75.355,4.88K,0.18%
737,"Jun 03, 2020",75.325,75.063,75.555,75.020,5.41K,0.30%
738,"Jun 02, 2020",75.100,75.553,75.628,74.970,6.13K,-0.54%
739,"Jun 01, 2020",75.505,75.473,75.773,75.275,5.28K,-0.13%
740,"May 29, 2020",75.605,75.705,75.755,75.448,4.31K,-0.07%
741,"May 28, 2020",75.660,75.812,75.910,75.632,5.41K,-0.34%
742,"May 27, 2020",75.920,75.565,75.988,75.538,4.51K,0.61%
743,"May 26, 2020",75.459,75.868,75.880,75.412,1.83K,-0.56%
744,"May 25, 2020",75.887,75.951,76.110,75.855,0.31K,-0.08%
745,"May 22, 2020",75.950,75.663,76.018,75.633,4.41K,0.44%
746,"May 21, 2020",75.620,75.540,75.833,75.386,3.45K,0.09%
747,"May 20, 2020",75.555,75.705,75.865,75.453,4.51K,-0.12%
748,"May 19, 2020",75.645,75.605,75.795,75.552,3.77K,-0.07%
749,"May 18, 2020",75.700,75.838,76.070,75.639,3.18K,-0.17%
750,"May 15, 2020",75.830,75.521,75.950,75.416,3.56K,0.44%
751,"May 14, 2020",75.495,75.454,75.712,75.335,4.38K,0.17%
